genre,total_count,danceability,energy,instrumentalness,speechiness,tempo,valence,danceability_dist,energy_dist,instrumentalness_dist,speechiness_dist,tempo_dist,valence_dist
anti-folk,24495,0.483031541,0.540872168,0.165241866,0.06396385,120.4518162,0.446540449,30,42,77,45,52,41
banda,101372,0.65286807,0.58767916,0.003849827,0.06870154,128.5468308,0.826929489,96,51,6,62,103,110
bebop,99078,0.512749329,0.318801188,0.401177383,0.060424438,113.3673227,0.491825077,41,11,105,34,10,46
blues,81468,0.577192235,0.427658883,0.122109886,0.072447808,117.7352966,0.640962127,70,17,66,70,31,86
blues-rock,115961,0.498751432,0.622610461,0.131844981,0.065307525,122.4976972,0.579840815,34,60,68,48,65,73
bolero,114975,0.545214212,0.414998445,0.049229727,0.056871893,115.0507153,0.610248531,55,16,40,24,18,79
boogaloo,43185,0.641742526,0.603986748,0.100050684,0.063901413,115.2891698,0.814042811,91,55,61,44,19,108
britpop,31251,0.462529343,0.722628266,0.148407458,0.056300275,127.0017817,0.502833183,22,89,75,21,96,47
broadway,9942,0.469741068,0.349728347,0.058586693,0.118518658,113.9231013,0.392571163,24,14,44,104,11,21
brostep,19387,0.615657812,0.837394491,0.327888404,0.122033404,134.0450846,0.339335225,84,108,100,106,115,9
c-pop,41284,0.542051788,0.509748421,0.004854263,0.047239347,121.5619816,0.410431596,53,32,9,8,58,24
cabaret,102646,0.47451157,0.274907649,0.090468342,0.081319171,110.8280219,0.441814752,26,5,56,85,3,39
cantautor,46132,0.547753924,0.505912866,0.023512027,0.068161164,118.5166262,0.528352567,57,31,28,59,37,57
cantopop,36034,0.553505634,0.529450822,0.003306955,0.050146861,122.5329041,0.421069068,59,40,4,12,66,27
catstep,13162,0.593422656,0.808499088,0.309155708,0.106011298,134.005169,0.336450517,76,102,97,102,114,8
ccm,41110,0.483963216,0.610316987,0.03863572,0.044287475,122.4496297,0.384688059,31,56,35,3,64,18
chanson,73575,0.519620826,0.428397766,0.017238265,0.088425453,114.5003883,0.51678647,43,18,22,89,14,53
chillwave,18638,0.534994565,0.655718551,0.408602933,0.068615168,121.0686888,0.411494731,50,68,106,61,54,26
classical performance,1341,0.44697226,0.067265081,0.799185855,0.086741312,125.7880559,0.253936018,17,1,114,86,90,4
country,68220,0.56975708,0.499436464,0.010268142,0.045642271,118.753865,0.561851733,68,28,18,5,41,67
country road,1037,0.58392189,0.562628544,0.009163505,0.052491803,122.8489084,0.595675313,71,46,17,16,70,76
crunk,62109,0.707232591,0.68124388,0.003105752,0.256496711,118.2009602,0.553371371,110,77,2,115,36,63
cumbia,59465,0.680762835,0.610540711,0.02315277,0.07029387,121.7925418,0.827021831,103,57,27,66,60,111
dance-punk,29546,0.484270544,0.749065068,0.304740926,0.07388306,126.7540433,0.450674694,32,95,96,72,94,42
dancehall,119193,0.729064626,0.60013687,0.046369535,0.178627703,115.0331633,0.724503999,112,54,38,111,17,102
danspunk,13887,0.546975877,0.741534501,0.014276859,0.077867646,128.475619,0.675341406,56,94,21,80,102,95
