genre,total_count,year,danceability,energy,instrumentalness,speechiness,tempo,valence
anti-folk,18,1967,0.439555555555556,0.165861111111111,0.108676337222222,0.0407055555555556,119.962055555556,0.298833333333333
anti-folk,29,1969,0.468137931034483,0.136055172413793,0.241791,0.0368,117.319068965517,0.284872413793103
anti-folk,26,1970,0.507884615384615,0.168761538461538,0.2934084,0.0418230769230769,114.552307692308,0.615461538461538
anti-folk,10,1971,0.4995,0.4904,0.078892645,0.04337,122.2255,0.4419
anti-folk,7,1972,0.608142857142857,0.180642857142857,0.232873857142857,0.0441142857142857,103.535,0.424428571428571
anti-folk,31,1973,0.540258064516129,0.420790322580645,0.000114584193548387,0.153845161290323,133.124225806452,0.557216129032258
anti-folk,5,1974,0.2324,0.356,0.0029758,0.05774,95.8442,0.20864
anti-folk,18,1976,0.535944444444444,0.703555555555556,0.0571021872222222,0.0503277777777778,130.925555555556,0.692777777777778
anti-folk,37,1977,0.540027027027027,0.604162162162162,0.159674732432432,0.0570783783783784,120.106864864865,0.700459459459459
anti-folk,23,1978,0.52795652173913,0.62,0.322586463478261,0.0373217391304348,127.607913043478,0.562434782608696
anti-folk,68,1979,0.434573529411765,0.753411764705882,0.123169187352941,0.118741176470588,126.005397058824,0.533130882352941
anti-folk,41,1980,0.434512195121951,0.697146341463415,0.325968629268293,0.0930048780487805,116.361487804878,0.650341463414634
anti-folk,68,1981,0.410867647058824,0.860220588235294,0.263438667647059,0.0768514705882353,128.1925,0.5118
anti-folk,96,1982,0.40428125,0.673507291666667,0.303034175729167,0.121913541666667,118.872958333333,0.484261458333333
anti-folk,205,1983,0.429443902439024,0.55339756097561,0.232190507219512,0.110208780487805,115.824448780488,0.522466341463415
anti-folk,100,1984,0.45384,0.67574,0.183159843,0.068514,125.30074,0.58799
anti-folk,136,1985,0.454301470588235,0.629200735294117,0.273816966470588,0.0699470588235294,129.422632352941,0.525645588235294
anti-folk,131,1986,0.494335877862596,0.567152671755725,0.168295546641221,0.0534969465648855,127.544603053435,0.523203816793893
anti-folk,161,1987,0.472012422360249,0.607022981366459,0.161290647142857,0.0624652173913044,127.141596273292,0.525424844720497
anti-folk,156,1988,0.468705128205128,0.703847435897436,0.313187540961539,0.0667288461538462,131.931012820513,0.487170512820513
anti-folk,122,1989,0.453713114754099,0.645338524590164,0.193682045,0.0610491803278688,125.959237704918,0.490538524590164
anti-folk,285,1990,0.489045614035088,0.581299298245613,0.213326191403509,0.0687736842105263,124.845687719298,0.520100350877192
anti-folk,118,1991,0.48964406779661,0.436265254237288,0.107870577711864,0.070978813559322,118.626711864407,0.481957627118644
anti-folk,296,1992,0.432243243243243,0.627279054054054,0.271398148783784,0.0752766891891892,120.417560810811,0.436461824324324
